,BACH2,Cd244,CX3CR1,CXCR6,ENTPD1,GZMA,GZMB,HAVCR2,IFNG,ITGAX,MKI67,MYB,PDCD1,SELL,SLAMF6,TCF7,TOX,Teff,Tex,Tpex
NFIL3,0.27162987,0.012435454,0.06351559,0.40622544,0.08077981,0.4350211,1.0065491,0.25301617,0.83948463,0.050551176,0.5586603,0.71338445,0.59025335,0.7026058,0.6442738,0.6718982,0.54105896,0.144578313253012,0.216867469879518,0.6385542168674698
NFKB1,0.27393395,0.030318325,0.036025327,0.29292598,0.08568202,0.14775017,1.0204566,0.15207314,0.851457,0.028657675,0.62038505,0.5513469,0.46930298,0.59703505,0.52477616,0.7108645,0.535554,0.1298701298701298,0.2727272727272727,0.5974025974025974
NPAS2,0.2711742,0.06302596,0.081383064,0.43632653,0.11330892,0.37043688,1.1527312,0.27983764,0.8418531,0.07057894,0.5856246,0.5908867,0.5409833,0.5522118,0.50961477,0.6036639,0.60734963,0.1365638766519823,0.2863436123348017,0.5770925110132159
NR1H2,0.31761053,0.023359675,0.07876821,0.41676667,0.08246466,0.29791704,1.0404215,0.23474729,0.6217239,0.046869855,0.53815967,0.58465767,0.51360995,0.72287065,0.6394981,0.6998999,0.5926283,0.1344086021505376,0.2258064516129032,0.6397849462365591
NR1H3,0.25578153,0.057941537,0.07306311,0.38171253,0.15282947,0.3398562,1.1149677,0.24217975,0.79996294,0.049790733,0.63943744,0.6037023,0.5414345,0.6530187,0.53691024,0.7280718,0.57381314,0.0955882352941176,0.3455882352941176,0.5588235294117647
NR2F1,0.26996616,0.04210041,0.09523282,0.33642063,0.07754922,0.2086653,0.9863425,0.21382304,0.83651024,0.015460382,0.42039713,0.584999,0.62326294,0.66497684,0.67471564,0.7644506,0.5642093,0.1492537313432835,0.2164179104477611,0.6343283582089553
NR4A1,0.25075862,0.045956273,0.0516557,0.54211295,0.10974628,0.31469783,1.2130634,0.2767156,0.9793671,0.0642097,0.4970473,0.46456182,0.6289631,0.58339995,0.5106368,0.5599363,0.6189491,0.0949720670391061,0.3631284916201117,0.5418994413407822
NR4A2,0.23269452,0.032824084,0.079941146,0.34141386,0.087289564,0.472493,1.0346553,0.26194003,0.8884097,0.045297362,0.5794052,0.6380152,0.51981616,0.6018489,0.6793081,0.7430238,0.67156357,0.1727272727272727,0.2212121212121212,0.6060606060606061
NR4A3,0.28694677,0.014775136,0.061341163,0.2473784,0.059385817,0.22176223,0.66527045,0.12776051,0.81418043,0.04641248,0.505236,0.66746014,0.5449488,0.6332466,0.71507263,0.8288967,0.7506585,0.1223404255319148,0.1542553191489361,0.723404255319149
NRF1,0.35759795,0.022310868,0.05819831,0.2944351,0.07316725,0.24908584,0.762511,0.13017568,0.6568423,0.0,0.48811585,0.7522394,0.43754736,0.5577213,0.65777767,0.7446011,0.6281009,0.1071428571428571,0.1964285714285714,0.6964285714285714
OTX1,0.31310418,0.052023277,0.16153747,0.4844433,0.08523565,0.24623285,1.1072236,0.27546838,0.869769,0.017008085,0.6451955,0.552757,0.48498148,0.5116916,0.53443205,0.60624236,0.62978643,0.14,0.37,0.49
PBX3,0.28754845,0.06600776,0.09366736,0.40367272,0.09856957,0.42223734,1.0604913,0.24655218,0.7855833,0.07381161,0.4631781,0.5590294,0.5301154,0.621371,0.654142,0.64500695,0.6122341,0.1729729729729729,0.2648648648648649,0.5621621621621622
PCBP3,0.27535915,0.04069239,0.06653439,0.51008415,0.12775445,0.4739456,1.3527663,0.32041946,0.94632286,0.08010255,0.4222028,0.54100436,0.5349835,0.5347537,0.5112218,0.64755505,0.5421652,0.2307692307692307,0.25,0.5192307692307693
PDLIM1,0.28828448,0.04216404,0.072495505,0.39833596,0.09689385,0.3155551,0.9457558,0.21911766,0.8291338,0.046818115,0.51311916,0.5324172,0.5773626,0.53333825,0.547876,0.616886,0.607283,0.1374570446735395,0.2852233676975945,0.5773195876288659
PLAGL1,0.20232259,0.095401235,0.09525173,0.61271805,0.15358591,0.37792265,1.4272883,0.35826376,0.9412564,0.03226239,0.6067303,0.44720322,0.65737236,0.42672035,0.4377236,0.5174687,0.5986337,0.1369509043927648,0.4470284237726098,0.4160206718346253
POU2AF1,0.30046993,0.058377218,0.08171563,0.49827775,0.09752568,0.68715715,1.2930677,0.29921752,0.92568237,0.09884845,0.5149618,0.4616961,0.61779565,0.5082511,0.4729524,0.55619085,0.5948714,0.2163265306122449,0.3183673469387755,0.4653061224489795
POU2F2,0.28204766,0.029438937,0.10951229,0.52934784,0.095557146,0.38782492,1.1833959,0.3612503,0.86170894,0.060284022,0.6244331,0.48093113,0.45928788,0.49700022,0.39124465,0.5535863,0.41918692,0.2409638554216867,0.2771084337349397,0.4819277108433735
POU6F1,0.21670488,0.04193412,0.13044025,0.44027165,0.13568334,0.48325217,1.1307987,0.23468262,0.8538471,0.07485027,0.57356447,0.5516296,0.621578,0.68994725,0.63926965,0.650595,0.614357,0.1208791208791208,0.3516483516483517,0.5274725274725275
PPARG,0.3420129,0.040799472,0.07791652,0.35316524,0.06785254,0.25363827,0.85863835,0.15920956,0.8501536,0.054547295,0.615543,0.5164229,0.45500794,0.601587,0.5664287,0.6414719,0.61888486,0.1166666666666666,0.3,0.5833333333333334
PRDM1,0.32624546,0.029819498,0.05458922,0.25912905,0.06652732,0.18164024,0.55618936,0.13857679,0.57400775,0.039999742,0.5677736,0.6155559,0.5726648,0.62297356,0.5935082,0.84081197,0.6618547,0.0833333333333333,0.25,0.6666666666666666
PRKCB,0.2492543,0.040742274,0.104739234,0.6528565,0.13442017,0.61800414,1.348084,0.39056465,0.98433906,0.1533555,0.40711355,0.475595,0.56101966,0.41630173,0.42875892,0.51839644,0.49926597,0.2390243902439024,0.3073170731707317,0.4536585365853658
RARA,0.2241365,0.050955698,0.06019173,0.39488772,0.15234843,0.28190348,1.0959469,0.24181679,0.6530079,0.034363255,0.49697292,0.65898466,0.5752384,0.73970747,0.58394676,0.7159535,0.5703536,0.0526315789473684,0.3157894736842105,0.631578947368421
RARG,0.3637198,0.04504316,0.060952693,0.4405878,0.0819817,0.35655588,1.1135583,0.25031742,0.8691466,0.03411603,0.5189576,0.56849337,0.52442664,0.6074784,0.5726481,0.657422,0.63889277,0.1935483870967742,0.2451612903225806,0.5612903225806452
RBPJ,0.22351274,0.057531897,0.06625682,0.43773553,0.17350838,0.3726905,1.5313926,0.36146036,1.0431631,0.07613919,0.7146301,0.5529037,0.6597588,0.55668646,0.5288172,0.5604329,0.78261465,0.0975609756097561,0.3536585365853658,0.5487804878048781
REL,0.34973505,0.020533266,0.0337734,0.25667563,0.122659266,0.15801497,0.72126305,0.11189473,0.6394132,0.020613447,0.47351608,0.7668074,0.27792633,0.6281333,0.6402428,0.78961676,0.6629305,0.0851063829787234,0.202127659574468,0.7127659574468085
RELA,0.32349318,0.060579266,0.10553124,0.5324717,0.109747455,0.6362819,1.1253195,0.30906966,0.83442163,0.13764526,0.4860382,0.5882422,0.58658326,0.5404824,0.5974027,0.6456898,0.5556018,0.1871345029239766,0.3040935672514619,0.5087719298245614
RERE,0.25596,0.054031193,0.09082365,0.56896305,0.12088058,0.45632997,1.5443428,0.36639717,1.0674049,0.0644811,0.58152413,0.46873078,0.70421314,0.5266117,0.45911807,0.48357555,0.5817852,0.15234375,0.39453125,0.453125
RFX1,0.312806,0.06931195,0.055527262,0.46191248,0.0876566,0.27131233,1.1410404,0.22622913,0.6779083,0.05892112,0.5725517,0.6433563,0.6195606,0.7503147,0.54769427,0.7592428,0.7261795,0.1067961165048543,0.3300970873786408,0.5631067961165048
RFX2,0.31600088,0.04155515,0.07104909,0.41090035,0.08287597,0.36816683,1.0672306,0.25535476,0.840086,0.05680188,0.5464621,0.55740035,0.53650343,0.63457084,0.6002853,0.7822269,0.56604785,0.1567796610169491,0.2457627118644068,0.597457627118644
RFX3,0.23934521,0.07703331,0.069590755,0.48157468,0.08883877,0.28656998,1.0968385,0.24890335,0.90643746,0.053973794,0.47739196,0.55760366,0.575133,0.55469054,0.48260632,0.6303193,0.62793756,0.0851063829787234,0.3687943262411347,0.5460992907801419
RFX4,0.2712337,0.042208515,0.090822555,0.53158903,0.1080333,0.44693834,1.2608646,0.24384809,0.8573918,0.08310769,0.46572626,0.5921307,0.60387313,0.5235437,0.5219942,0.63239264,0.59120077,0.1833333333333333,0.3111111111111111,0.5055555555555555
RFX5,0.26464877,0.040361702,0.12701294,0.52907574,0.074904636,0.8081559,1.3080653,0.3070186,1.0912191,0.06905935,0.5146928,0.5044181,0.7136685,0.46896031,0.5517017,0.61797994,0.49787316,0.327683615819209,0.1864406779661017,0.4858757062146893
RORA,0.26588753,0.059448924,0.08082553,0.5354743,0.123298906,0.44136363,1.2179762,0.30950114,0.93300605,0.10331606,0.4510589,0.5352278,0.59992516,0.5491517,0.5076958,0.64438856,0.62385416,0.1350210970464135,0.3291139240506329,0.5358649789029536
RREB1,0.35950625,0.039656717,0.075029835,0.3761902,0.12464557,0.35726932,1.0490451,0.22350697,0.91836005,0.027703684,0.49260247,0.48980853,0.556116,0.6613497,0.56313246,0.73230714,0.62488896,0.116504854368932,0.2815533980582524,0.6019417475728155
RUNX1,0.40079093,0.03699326,0.06787233,0.3804234,0.10427205,0.47111997,1.1559846,0.15589067,0.7794889,0.0985719,0.5185242,0.5440415,0.46489733,0.6381496,0.5811042,0.7157803,0.57341105,0.1639344262295081,0.2622950819672131,0.5737704918032787
RUNX2,0.28208974,0.022520171,0.13461311,0.4210831,0.092506364,0.21959087,0.86640227,0.17263101,0.7704676,0.03957804,0.5014275,0.6242399,0.57133824,0.7387948,0.69658214,0.7322586,0.6721471,0.1549295774647887,0.176056338028169,0.6690140845070423
RUNX3,0.34233078,0.010831949,0.070127055,0.28437516,0.08165062,0.40082896,0.9917261,0.13493857,0.7210436,0.04881683,0.37499955,0.62222064,0.3367325,0.91547483,0.66341376,0.81326383,0.5310599,0.3114754098360656,0.0655737704918032,0.6229508196721312
RXRA,0.21012639,0.029491656,0.066215865,0.41544175,0.1285878,0.32952407,1.0100147,0.2075134,0.7830409,0.053712286,0.53974694,0.5813921,0.6596613,0.5789198,0.54565626,0.70341146,0.64954865,0.0962566844919786,0.3155080213903743,0.5882352941176471
SATB1,0.23225057,0.11385286,0.12531936,0.68404436,0.15783109,0.5338973,1.5609248,0.3856502,0.9619578,0.055944767,0.5798942,0.32782355,0.8746964,0.36897781,0.39973277,0.5112889,0.66072524,0.167427701674277,0.4322678843226788,0.4003044140030441
SETBP1,0.29013386,0.03743712,0.04656125,0.4301505,0.09374641,0.37021807,1.1680536,0.2636947,0.93225765,0.04521984,0.6026597,0.510765,0.5415193,0.5348589,0.5285216,0.63053703,0.49104872,0.1363636363636363,0.3636363636363636,0.5
SMAD1,0.2638349,0.062074967,0.05723335,0.5397292,0.12999041,0.6312469,1.2894596,0.3179604,0.9575061,0.10967499,0.47507244,0.4668648,0.6184275,0.45357186,0.4198701,0.53115845,0.64777154,0.2051282051282051,0.2905982905982906,0.5042735042735043
SMAD3,0.27284646,0.033224504,0.06831119,0.42394465,0.07897361,0.2063734,0.93077064,0.16748016,0.6525535,0.032600895,0.50953597,0.66144824,0.554368,0.6905546,0.71113026,0.89670956,0.67924803,0.0699300699300699,0.2377622377622377,0.6923076923076923
SOX4,0.2602792,0.06268611,0.030101798,0.37898037,0.1518346,0.34131336,1.1486719,0.2852066,0.7887631,0.051431917,0.5296202,0.5683213,0.60080236,0.57628614,0.5687203,0.58794326,0.70540464,0.088235294117647,0.3352941176470588,0.5764705882352941
SOX5,0.30530623,0.043347497,0.05096395,0.37677488,0.078188285,0.28976387,1.0297574,0.17968023,0.9609643,0.05034181,0.6673776,0.53805786,0.5046499,0.6449013,0.53812677,0.6898499,0.5766606,0.1202185792349726,0.2786885245901639,0.6010928961748634
SOX6,0.30748844,0.03843853,0.107815325,0.55345523,0.13332148,0.5856925,1.4316496,0.35510692,1.0878273,0.089312516,0.613845,0.43876976,0.59658766,0.4497754,0.4186581,0.5632004,0.50921535,0.2209944751381215,0.3370165745856354,0.4419889502762431
SP1,0.22121187,0.07481744,0.1370664,0.5149126,0.14096569,0.30290762,1.4018983,0.33152196,1.0175879,0.05607977,0.5222536,0.44047987,0.6632634,0.6015785,0.48109224,0.56065035,0.7108759,0.1296296296296296,0.4027777777777778,0.4675925925925926
SP3,0.25865662,0.06974607,0.031785257,0.64043033,0.19717994,0.30662233,1.4203339,0.38653192,0.96143776,0.017266992,0.50098735,0.45912573,0.6976632,0.5735978,0.49161056,0.5402875,0.7294683,0.0615384615384615,0.4461538461538462,0.4923076923076923
SP4,0.24067806,0.055502985,0.08162436,0.49339116,0.106105536,0.38584194,1.1277211,0.2999178,0.81204206,0.04193046,0.59050494,0.55191505,0.6303353,0.5340458,0.48933592,0.5981174,0.56947196,0.1362126245847176,0.3289036544850498,0.5348837209302325
SREBF1,0.34823966,0.03992037,0.069082536,0.41193053,0.10694731,0.29164988,1.0408931,0.22747746,0.79338974,0.04057171,0.45103553,0.5715096,0.6274524,0.6633219,0.56766033,0.60796934,0.60194486,0.1126760563380281,0.3450704225352112,0.5422535211267606
SREBF2,0.2660326,0.018908719,0.10530652,0.4396327,0.06254474,0.5020978,1.1120679,0.19783978,0.8802184,0.055905797,0.4488633,0.5745901,0.5253502,0.56535196,0.5483198,0.697387,0.5446362,0.1973684210526315,0.2368421052631578,0.5657894736842105
SSBP3,0.24450444,0.041111358,0.062130194,0.3470482,0.08128098,0.1227904,0.93843037,0.18398647,0.8058987,0.023097605,0.58060986,0.59683585,0.41815156,0.6188154,0.5771836,0.7335822,0.5907365,0.0961538461538461,0.3205128205128205,0.5833333333333334
ST18,0.3004838,0.05783504,0.06310874,0.38710123,0.08912189,0.47295967,1.0835406,0.28064558,0.91419,0.055300444,0.53842235,0.56035876,0.5476797,0.5764605,0.5273642,0.65040386,0.5518415,0.1558441558441558,0.2662337662337662,0.577922077922078
STAT3,0.24168494,0.041601107,0.0944647,0.4552593,0.064592235,0.5483556,0.9660166,0.2610631,0.95625633,0.09397522,0.516682,0.53221864,0.49230373,0.5144419,0.51293874,0.63632804,0.496456,0.1769230769230769,0.2615384615384615,0.5615384615384615
STAT4,0.3464251,0.052795567,0.055609062,0.42177612,0.09045197,0.33284944,0.82127285,0.2118481,0.8209531,0.042289443,0.30034095,0.6464503,0.63366544,0.5670786,0.63708884,0.9272329,0.6338012,0.1415094339622641,0.1698113207547169,0.6886792452830188
STAT5A,0.27831978,0.0,0.062314913,0.07556673,0.00942444,0.09441781,0.48101443,0.060180265,0.6933716,0.032700554,0.5135214,0.902256,0.1999003,1.0419738,0.7204485,0.93687165,0.6785379,0.16,0.08,0.76
STAT5B,0.25854298,0.030820504,0.023472846,0.3456833,0.09719206,0.1326044,0.5181425,0.07202432,0.80228955,0.018989882,0.24195834,0.7493043,0.28818578,0.8860661,0.7834753,0.8987745,0.8294806,0.125,0.2083333333333333,0.6666666666666666
SUB1,0.27785888,0.057914328,0.08696213,0.43517765,0.14585164,0.33687937,1.1414118,0.28323784,0.83104324,0.040973593,0.49890637,0.5568505,0.59505975,0.48978645,0.52351224,0.5980685,0.65734076,0.0993377483443708,0.3576158940397351,0.543046357615894
TAL1,0.24965014,0.018204395,0.042317517,0.294234,0.06496106,0.14905535,0.84242094,0.2024363,0.7225429,0.036797054,0.5858762,0.6399452,0.48198137,0.7421673,0.711355,0.83677447,0.5457962,0.0757575757575757,0.2348484848484848,0.6893939393939394
TBX21,0.28843686,0.024618875,0.084461644,0.28340805,0.039623506,0.086010575,0.8249419,0.11419572,0.4976203,0.021343252,0.32444903,0.5410071,0.3926917,0.476456,0.64589757,0.70169634,0.6654736,0.044776119402985,0.208955223880597,0.746268656716418
TCF12,0.2516453,0.058910478,0.128729,0.6817214,0.12370404,0.8747745,1.6176013,0.41807216,1.3420795,0.10783183,0.51993805,0.431619,0.6898376,0.36820373,0.3975772,0.45349643,0.52806956,0.2775330396475771,0.3502202643171806,0.3722466960352423
TCF4,0.27981207,0.052075036,0.074635275,0.5314666,0.123251356,0.36850166,1.3283075,0.3267768,0.664336,0.053329587,0.4389174,0.5419075,0.6772245,0.5024028,0.44228035,0.570629,0.5592174,0.1117318435754189,0.4078212290502793,0.4804469273743016
TCF7,0.23372883,0.12249727,0.15841289,0.92300224,0.24320541,0.6886924,1.9190329,0.57042146,1.2553722,0.14524765,0.7547831,0.23980597,0.83592904,0.14026548,0.14875987,0.1869521,0.51442724,0.1830985915492957,0.647887323943662,0.1690140845070422
TCF7L2,0.3099639,0.037152734,0.0810995,0.4200167,0.092371605,0.29977745,0.9803326,0.22633654,0.7349765,0.034540236,0.58120555,0.6333394,0.5024033,0.6348706,0.5409274,0.7324202,0.56877786,0.1142857142857142,0.3,0.5857142857142857
TFAM,0.27239478,0.026827829,0.06258709,0.23663086,0.0641736,0.18170418,0.69293004,0.120461196,0.6229129,0.02518296,0.59564644,0.58609724,0.48469937,0.7935135,0.80536056,0.91162175,0.6587054,0.0377358490566037,0.2452830188679245,0.7169811320754716
TGIF1,0.2906095,0.0517296,0.08595144,0.5402064,0.11683691,0.41175893,1.2136998,0.33014017,0.9876293,0.057419844,0.57470894,0.4761253,0.61285764,0.45808655,0.49171847,0.5709656,0.58505887,0.1455108359133126,0.3746130030959752,0.479876160990712
TLE3,0.28175777,0.028342888,0.06491642,0.26733744,0.07876458,0.22605236,0.90499705,0.16671209,0.81738573,0.034191918,0.6021048,0.6740752,0.61184216,0.83729297,0.6643534,0.83946717,0.6303877,0.1551724137931034,0.1724137931034483,0.6724137931034483
TOX,0.24696846,0.052924164,0.089107215,0.48352385,0.1479551,0.33801678,1.2487626,0.29557866,0.8888352,0.05744525,0.7692443,0.5558055,0.6328376,0.4782183,0.46961403,0.51260376,0.62656856,0.1333333333333333,0.3538461538461538,0.5128205128205128
TOX2,0.31878036,0.026466575,0.088697925,0.5403159,0.08547214,1.3893555,1.3473674,0.45096135,1.1087161,0.18972996,0.44262132,0.4657321,0.6541144,0.42341733,0.46100664,0.47750384,0.4544267,0.3678474114441417,0.1880108991825613,0.444141689373297
TRPS1,0.2523061,0.02910834,0.078411296,0.3976601,0.099219315,0.2634047,1.0621538,0.21702601,0.839643,0.044788882,0.5208797,0.6114108,0.5826544,0.56955004,0.60111094,0.6734621,0.6540657,0.1275720164609053,0.2674897119341564,0.6049382716049383
TSC22D1,0.28695154,0.042207155,0.08665838,0.44460848,0.12760001,0.35594955,1.1927679,0.3366773,0.8814368,0.047991723,0.5586579,0.5341301,0.5750573,0.6008803,0.5619419,0.6857389,0.5276895,0.1015625,0.33203125,0.56640625
XBP1,0.2258521,0.056851905,0.08460453,0.46519333,0.130498,0.29171458,1.1637396,0.3008716,0.8751626,0.060993724,0.5886997,0.5544813,0.6278542,0.5587826,0.51737875,0.59305876,0.51484627,0.148,0.304,0.548
YY1,0.29913303,0.028187886,0.15460458,0.35359198,0.12910633,0.6366544,0.9287588,0.22424898,1.0676045,0.06380393,0.427008,0.5098751,0.5168433,0.67179793,0.48200536,0.604701,0.6816148,0.1875,0.125,0.6875
ZBTB20,0.2938784,0.057695568,0.11894134,0.5504379,0.12930414,0.33058983,1.2812207,0.37879378,1.0124038,0.03953315,0.564925,0.519651,0.6568729,0.55238986,0.46249583,0.6635016,0.6197969,0.140495867768595,0.3305785123966942,0.5289256198347108
ZBTB32,0.24075368,0.11765008,0.06897632,0.35050395,0.07411848,0.26317814,0.793245,0.18373038,0.8068209,0.055689335,0.7138791,0.5456712,0.51024485,0.6222185,0.58887684,0.7302782,0.8030435,0.1052631578947368,0.2894736842105263,0.6052631578947368
ZBTB38,0.2486152,0.022353986,0.09408913,0.50259113,0.12844509,0.23156208,1.1320213,0.25702688,0.83595127,0.04447761,0.5418984,0.53803784,0.57865494,0.68575495,0.56469727,0.5803656,0.50250775,0.1521739130434782,0.3333333333333333,0.5144927536231884
ZEB1,0.24073575,0.020152342,0.06300263,0.3453141,0.104834564,0.32887474,0.93403333,0.23713917,0.75091636,0.012095821,0.47181776,0.6169802,0.6488411,0.67287934,0.51345086,0.64139646,0.66015744,0.1097560975609756,0.2926829268292683,0.5975609756097561
ZEB2,0.24000916,0.06103252,0.07365377,0.39165032,0.086909495,0.23884486,0.9427151,0.17294744,0.79092807,0.014481794,0.47965762,0.63958967,0.6291079,0.71602774,0.6597609,0.78625405,0.70644814,0.0604395604395604,0.3021978021978022,0.6373626373626373
ZNF212,0.26430336,0.038205437,0.07827439,0.44286487,0.11108516,0.18323086,1.0454782,0.27239597,0.94116193,0.028652338,0.6794081,0.52958775,0.613189,0.55930066,0.46885157,0.7018832,0.66616243,0.0933333333333333,0.3866666666666666,0.52
ZNF219,0.24419908,0.074434206,0.11206083,0.5731673,0.13390948,0.46432367,1.1809934,0.30705053,1.049332,0.04140129,0.47620127,0.5142418,0.6278694,0.59504163,0.5676579,0.6530399,0.6696949,0.1587301587301587,0.3253968253968254,0.5158730158730159
ZNF287,0.27050573,0.032475073,0.060021617,0.43619698,0.07998013,0.13663267,1.0728716,0.24469835,0.7399649,0.029210944,0.54617095,0.4683634,0.52029365,0.61908233,0.63745034,0.6300968,0.5889821,0.1057692307692307,0.3173076923076923,0.5769230769230769
ZNF362,0.24940152,0.07900771,0.05637791,0.3702043,0.1118251,0.1681044,1.1167147,0.25232437,0.7848393,0.03423248,0.56336284,0.47188753,0.5071942,0.5917988,0.5222338,0.6268143,0.553783,0.119205298013245,0.304635761589404,0.5761589403973509
ZFP36L1,0.26999447,0.09980417,0.071501896,0.4437916,0.15849204,0.30435187,1.0336807,0.3009322,0.83199835,0.09142007,0.44946352,0.51233953,0.6427,0.5357162,0.54199785,0.6651303,0.51159465,0.2142857142857142,0.1964285714285714,0.5892857142857143
ZNF780A,0.24866419,0.05463416,0.036948822,0.33320978,0.12499001,0.33218938,1.0042549,0.2568751,0.72318804,0.02555286,0.50848323,0.6973887,0.46675625,0.7280399,0.7344807,0.7342453,0.5725383,0.0824742268041237,0.2783505154639175,0.6391752577319587
ZNF629,0.27038208,0.018721163,0.12730148,0.502582,0.11334461,0.39579567,1.2462194,0.26405185,0.83819693,0.089771,0.63880235,0.5101266,0.6183611,0.58297104,0.52010113,0.5731915,0.5124788,0.2066115702479339,0.3140495867768595,0.4793388429752066
ZNF652,0.32182148,0.054570958,0.048066095,0.46591252,0.119078875,0.46493694,1.1702294,0.25949436,0.9105553,0.057634912,0.46181515,0.47623616,0.5387763,0.5456418,0.4893295,0.5929897,0.542686,0.1858108108108108,0.3006756756756756,0.5135135135135135
ZHX2,0.28574705,0.014258756,0.05509439,0.31024736,0.069176555,0.41046944,0.9975506,0.22762309,0.6991511,0.04173368,0.5664429,0.60511327,0.49937215,0.7139648,0.6213679,0.82789326,0.45901668,0.1441441441441441,0.2342342342342342,0.6216216216216216
ZSCAN10,0.25097424,0.051800787,0.06918691,0.48135826,0.1280661,0.39625478,1.1473985,0.2713127,0.9641562,0.055319898,0.49447924,0.5546596,0.5650861,0.54917055,0.5103733,0.5618249,0.60138196,0.1489361702127659,0.3475177304964539,0.5035460992907801
ZSCAN12,0.27262214,0.03033537,0.082848094,0.4026763,0.11857795,0.40419716,0.9908595,0.26932365,0.891422,0.052168556,0.4727377,0.5924903,0.5476139,0.63911766,0.56438226,0.6731163,0.54474306,0.1300448430493273,0.2556053811659193,0.6143497757847534
ctrl,0.28023198,0.049906828,0.08612845,0.45147604,0.11033759,0.42693707,1.1545717,0.2715146,0.90531677,0.06517434,0.5249736,0.54024965,0.57996833,0.55078036,0.518772,0.6301975,0.57151574,0.1504818383988139,0.3224610822831727,0.5270570793180134
